Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00122507959535201,-0.0132142522574721,0.158187880538494,0,0,0,5.04599768700966,0.0199585188421208,8.49633695615799E-07,3.57924483879844E-07,0.0133780567917246,-8.69413175238509E-06,0.0204011323429144,0,0,0,0,0,0,package://new_model/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new_model/meshes/base_link.STL,,base_link-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RFS,0.13547,0.086849,0.092683,0,0,0,0.26437,3.2075E-05,-1.5645E-07,1.6485E-08,6.2207E-05,-2.9641E-09,6.2915E-05,0,0,0,0,0,0,package://new_model/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_model/meshes/RFS.STL,,Suspensionsystem2-1,좌표계1,Axis_right_front_suspension,right_front_suspension,prismatic,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
RFW,0.18943,0.1001,0.062199,0,0,0,0.19359,0.00025308,-5.171E-21,2.2481E-36,0.00013682,-4.286E-37,0.00013682,0,0,0,0,0,0,package://new_model/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://new_model/meshes/RFW.STL,,wheel-2,좌표계1,Axis_right_front_wheel,right_front_wheel,continuous,0,0,0,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LFS,-0.13547,0.086849,0.092691,0,0,0,0.26437,3.2075E-05,1.5645E-07,1.6485E-08,6.2207E-05,2.9641E-09,6.2915E-05,0,0,0,0,0,0,package://new_model/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_model/meshes/LFS.STL,,Suspensionsystem-1,좌표계1,Axis_left_front_suspension,left_front_suspension,prismatic,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
LFW,-0.18943,0.1001,0.062197,0,0,0,0.19359,0.00025308,-3.2321E-19,8.5767E-19,0.00013682,2.1137E-20,0.00013682,0,0,0,0,0,0,package://new_model/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://new_model/meshes/LFW.STL,,wheel-4,좌표계1,Axis_left_front_wheel,left_front_wheel,continuous,0,0,0,0,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RBS,0.12676,-0.083501,0.099498,0,0,0,0.19701,1.688E-05,2.2931E-20,-2.235E-19,5.0552E-05,-2.687E-21,4.6911E-05,0,0,0,0,0,0,package://new_model/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_model/meshes/RBS.STL,,suspensioncastle-1,좌표계1,Axis_right_back_suspension,right_back_suspension,prismatic,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
RBC,0.16321,-0.083575,0.081145,0,0,0,0.03248,8.8659E-06,6.1151E-08,1.2061E-06,1.0703E-05,-4.0099E-08,2.8292E-06,0,0,0,0,0,0,package://new_model/meshes/RBC.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://new_model/meshes/RBC.STL,,CastleCatcher-2,좌표계1,Axis_rihgt_back_castle,rihgt_back_castle,continuous,0,0,0,0,0,0,RBS,0,0,1,,,,,,,,,,,,
RBW,0.18942,-0.084446,0.064353,0,0,0,0.19359,0.00025295,-3.861E-06,-2.8371E-33,0.00013695,-1.9437E-32,0.00013682,0,0,0,0,0,0,package://new_model/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://new_model/meshes/RBW.STL,,wheel-1,좌표계1,Axis_right_back_wheel,right_back_wheel,continuous,0,0,0,0,0,0,RBC,0.99945,-0.033227,0,3.1,7,,,,,,,,,,
LBS,-0.12676,-0.083501,0.099498,0,0,0,0.19701,1.688E-05,1.2258E-20,-2.3064E-19,5.0552E-05,2.9288E-21,4.6911E-05,0,0,0,0,0,0,package://new_model/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_model/meshes/LBS.STL,,suspensioncastle-2,좌표계1,Axis_left_back_suspension,left_back_suspension,prismatic,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
LBC,-0.16321,-0.083649,0.081145,0,0,0,0.03248,8.8721E-06,-1.2291E-07,-1.2041E-06,1.0697E-05,-8.0732E-08,2.8292E-06,0,0,0,0,0,0,package://new_model/meshes/LBC.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://new_model/meshes/LBC.STL,,CastleCatcher-3,좌표계1,Axis_left_back_castle,left_back_castle,continuous,0,0,0,0,0,0,LBS,0,0,1,,,,,,,,,,,,
LBW,-0.18937,-0.085403,0.064353,0,0,0,0.19359,0.00025256,7.7603E-06,8.8996E-19,0.00013734,6.1633E-20,0.00013682,0,0,0,0,0,0,package://new_model/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://new_model/meshes/LBW.STL,,wheel-3,좌표계1,Axis_left_back_wheel,left_back_wheel,continuous,0,0,0,0,0,0,LBC,0.99776,0.066898,0,3.1,7,,,,,,,,,,
webcam,0.010772,0.12237,0.19826,0,0,0,0.084224,1.4022E-05,-9.3308E-07,2.9326E-08,2.9762E-05,-4.8403E-07,3.7024E-05,0,0,0,0,0,0,package://new_model/meshes/webcam.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_model/meshes/webcam.STL,,webcam-1,좌표계1,,webcam,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.0012251,-0.013214,0.15819,0,0,0,5.046,0.019959,8.4963E-07,3.5792E-07,0.013378,-8.6941E-06,0.020401,0,0,0,0,0,0,package://new_model/meshes/lidar.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_model/meshes/lidar.STL,,RPLidar-1,좌표계1,Axis_lidar,lidar,prismatic,0,0,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
